Site,latitude,longitude,biomass
1,43.05219,-89.4241,0
2,43.04965,-89.4259,20.73
3,43.04994,-89.42984,16.38
4,43.05343,-89.42923,45.12
5,43.0537,-89.4177,8.54
6,43.05371,-89.41196,98.22
7,43.05073,-89.41499,227.25
8,43.05677,-89.41814,38.33
