Site,site,biomass,rating,rating_site,n
Site_1,1,0,1,Site 1,
Site_2,2,20.7,4,Site 4,
Site_3,3,16.38,3,Site 3,
Site_4,4,45.12,6,Site 6,
Site_5,5,8.54,2,Site 2,
Site_6,6,98.22,7,Site 7,
Site_7,7,227.25,8,Site 8,
Site_8,8,38.33,5,Site 5,
