date,site,replicate,headspaceCO2,concentrationCO2Air,waterTemp,do.sat,do.sat.moles,DO_mgL,DO_micromol,o2_departure,barometricPressure
2022-06-13,1,1,16.371084721784538,358.78301,20.7,8.672877062915182,271.02740821609945,10.95,342.1875,71.16009178390055,98.08
2022-06-13,1,2,16.241996368525427,358.78301,20.7,8.672877062915182,271.02740821609945,10.95,342.1875,71.16009178390055,98.08
2022-06-13,1,3,16.228168187837433,358.78301,20.7,8.672877062915182,271.02740821609945,10.95,342.1875,71.16009178390055,98.08
2022-06-13,2,1,6.0922853333026135,358.78301,20.4,8.72350010139434,272.60937816857313,21.16,661.25,388.64062183142687,98.07
2022-06-13,2,2,5.588606344491682,358.78301,20.4,8.72350010139434,272.60937816857313,21.16,661.25,388.64062183142687,98.07
2022-06-13,2,3,6.363919895865955,358.78301,20.4,8.72350010139434,272.60937816857313,21.16,661.25,388.64062183142687,98.07
2022-06-13,3,1,20.17025611678299,358.78301,20.5,8.70626274826849,272.0707108833903,12.16,380,107.92928911660972,98.07
2022-06-13,3,2,16.480731910194095,358.78301,20.5,8.70626274826849,272.0707108833903,12.16,380,107.92928911660972,98.07
2022-06-13,3,3,17.229304594567967,358.78301,20.5,8.70626274826849,272.0707108833903,12.16,380,107.92928911660972,98.07
2022-06-13,4,1,11.543130762002548,358.78301,20.5,8.70626274826849,272.0707108833903,12.49,390.3125,118.24178911660972,98.07
2022-06-13,4,2,11.56191191353852,358.78301,20.5,8.70626274826849,272.0707108833903,12.49,390.3125,118.24178911660972,98.07
2022-06-13,4,3,11.590681390547726,358.78301,20.5,8.70626274826849,272.0707108833903,12.49,390.3125,118.24178911660972,98.07
2022-06-13,5,1,17.151561453087165,358.78301,21.2,8.586388151352006,268.3246297297502,10.51,328.4375,60.1128702702498,98.06
2022-06-13,5,2,17.33202341605194,358.78301,21.2,8.586388151352006,268.3246297297502,10.51,328.4375,60.1128702702498,98.06
2022-06-13,5,3,17.39883804788756,358.78301,21.2,8.586388151352006,268.3246297297502,10.51,328.4375,60.1128702702498,98.06
2022-06-13,6,1,6.199557085666421,358.78301,21.4,8.565467280347033,267.6708525108448,13.47,420.9375,153.26664748915522,98.2
2022-06-13,6,2,6.046659574935068,358.78301,21.4,8.565467280347033,267.6708525108448,13.47,420.9375,153.26664748915522,98.2
2022-06-13,6,3,6.936753021565894,358.78301,21.4,8.565467280347033,267.6708525108448,13.47,420.9375,153.26664748915522,98.2
2022-06-13,7,1,18.988479831174608,358.78301,21.7,8.506741231922033,265.83566349756353,10.7,334.375,68.53933650243647,98.1
