sampling_point,latitude,longitude,depth_ft
163,43.05400407,-89.42373879,11
164,43.05463439,-89.42373289,10
165,43.05526471,-89.42372698,2
166,43.05053515,-89.42334151,2
167,43.05116547,-89.4233356,10
168,43.05179579,-89.4233297,12
169,43.05242611,-89.42332379,12
170,43.05305643,-89.42331789,12
171,43.05368675,-89.42331198,11
172,43.05431706,-89.42330608,10.5
173,43.05494738,-89.42330017,9
174,43.05084815,-89.42290882,8
175,43.05147846,-89.42290291,11
176,43.05210878,-89.422897,12
177,43.0527391,-89.42289109,12
178,43.05336942,-89.42288518,12
179,43.05399974,-89.42287927,11
180,43.05463006,-89.42287336,10
181,43.05526037,-89.42286745,4.5
182,43.05053082,-89.42248204,
183,43.05116114,-89.42247613,9
184,43.05179146,-89.42247021,11
185,43.05242177,-89.4224643,12
186,43.05305209,-89.42245838,12
187,43.05368241,-89.42245247,11
188,43.05431273,-89.42244655,10.5
189,43.05494305,-89.42244064,9
190,43.05557337,-89.42243472,2
191,43.05084381,-89.42204935,6
192,43.05147413,-89.42204343,11
193,43.05210445,-89.42203751,11
194,43.05273476,-89.42203159,12
195,43.05336508,-89.42202567,11
196,43.0539954,-89.42201975,11
197,43.05462572,-89.42201383,10
198,43.05525604,-89.42200791,8
199,43.05052648,-89.42162257,5
200,43.0511568,-89.42161665,9
201,43.05178711,-89.42161073,11
202,43.05241743,-89.4216048,12
203,43.05304775,-89.42159888,11
204,43.05367807,-89.42159296,11
205,43.05430839,-89.42158703,11
206,43.05493871,-89.42158111,10
207,43.05556902,-89.42157518,7
208,43.05020915,-89.4211958,
209,43.05083946,-89.42118987,7
210,43.05146978,-89.42118395,10
211,43.0521001,-89.42117802,11
212,43.05273042,-89.42117209,11
213,43.05336074,-89.42116616,11
214,43.05399106,-89.42116024,11
215,43.05462137,-89.42115431,10
216,43.05525169,-89.42114838,9
217,43.05588201,-89.42114245,3
218,43.05052213,-89.4207631,3
219,43.05115245,-89.42075717,7
220,43.05178277,-89.42075124,10.5
221,43.05241309,-89.42074531,11
222,43.0530434,-89.42073938,11.5
223,43.05367372,-89.42073344,11
224,43.05430404,-89.42072751,11
225,43.05493436,-89.42072158,10
226,43.05556468,-89.42071565,8.5
227,43.05619499,-89.42070971,2
228,43.0502048,-89.42033634,
229,43.05083511,-89.4203304,7
230,43.05146543,-89.42032447,9.5
231,43.05209575,-89.42031853,11
232,43.05272607,-89.42031259,11
233,43.05335639,-89.42030666,11
234,43.05398671,-89.42030072,10.5
235,43.05461702,-89.42029478,10
236,43.05524734,-89.42028884,9
237,43.05587766,-89.42028291,8
238,43.05051778,-89.41990364,3
239,43.0511481,-89.4198977,8.5
240,43.05177841,-89.41989175,9
241,43.05240873,-89.41988581,10
242,43.05303905,-89.41987987,11
243,43.05366937,-89.41987393,11.5
244,43.05429969,-89.41986799,10
245,43.05493,-89.41986205,10
246,43.05556032,-89.41985611,9
247,43.05619064,-89.41985016,6
248,43.05020044,-89.41947687,9
249,43.05083076,-89.41947093,7.5
