x,y,depth
566486.0557354548,286372.01007982105,-0.02828609277832181
566491.0557354548,286372.01007982105,-0.018375860483449163
566496.0557354548,286372.01007982105,-0.009394084786417095
566501.0557354548,286372.01007982105,-0.0013427808857436607
566506.0557354548,286372.01007982105,0.005777932649928236
566511.0557354548,286372.01007982105,0.011969665878534014
566486.0557354548,286377.01007982105,0.02535463712300645
566491.0557354548,286377.01007982105,0.03558751754056222
566496.0557354548,286377.01007982105,0.044867934293251754
566501.0557354548,286377.01007982105,0.053193836354483603
566506.0557354548,286377.01007982105,0.060565113214001154
566511.0557354548,286377.01007982105,0.06698331979433059
566516.0557354548,286377.01007982105,0.07245148450300609
566521.0557354548,286377.01007982105,0.0769740929321917
566526.0557354548,286377.01007982105,0.0805572660652949
566546.0557354548,286377.01007982105,0.08569222229390294
566551.0557354548,286377.01007982105,0.08474776745971413
566556.0557354548,286377.01007982105,0.08295004846249132
566561.0557354548,286377.01007982105,0.08032272708506105
566566.0557354548,286377.01007982105,0.07689174335744431
566571.0557354548,286377.01007982105,0.07268481382718328
566576.0557354548,286377.01007982105,0.06773076545117085
566581.0557354548,286377.01007982105,0.062058829324206366
566586.0557354548,286377.01007982105,0.05569811265883817
566591.0557354548,286377.01007982105,0.048677452371352015
566596.0557354548,286377.01007982105,0.04102569201502171
566601.0557354548,286377.01007982105,0.032772229304662504
566606.0557354548,286377.01007982105,0.02394760541326424
566381.0557354548,286382.01007982105,-0.3416458313786305
566386.0557354548,286382.01007982105,-0.31458058280520707
566391.0557354548,286382.01007982105,-0.28803993558678
566396.0557354548,286382.01007982105,-0.26205600768881
566481.0557354548,286382.01007982105,0.06784894944790609
566486.0557354548,286382.01007982105,0.07939115620465143
566491.0557354548,286382.01007982105,0.08996071153555629
566496.0557354548,286382.01007982105,0.0995532857486453
566501.0557354548,286382.01007982105,0.10816693293750623
566506.0557354548,286382.01007982105,0.11580171570571507
566511.0557354548,286382.01007982105,0.12245925478592512
566516.0557354548,286382.01007982105,0.12814238268635247
566521.0557354548,286382.01007982105,0.1328550976059385
566526.0557354548,286382.01007982105,0.13660285995722865
566531.0557354548,286382.01007982105,0.13939307839833626
566536.0557354548,286382.01007982105,0.14123558304771244
566541.0557354548,286382.01007982105,0.14214297433567402
566546.0557354548,286382.01007982105,0.1421308355103138
566551.0557354548,286382.01007982105,0.1412178351572495
566556.0557354548,286382.01007982105,0.13942573300700356
566561.0557354548,286382.01007982105,0.1367792643903588
566566.0557354548,286382.01007982105,0.1333058348020988
566571.0557354548,286382.01007982105,0.129034932680553
566576.0557354548,286382.01007982105,0.1239972210465301
566581.0557354548,286382.01007982105,0.11822345341487939
566586.0557354548,286382.01007982105,0.11174360730764799
566591.0557354548,286382.01007982105,0.10458666981589215
566596.0557354548,286382.01007982105,0.09678116940885573
566601.0557354548,286382.01007982105,0.08835611536522259
566606.0557354548,286382.01007982105,0.07934189949872716
566611.0557354548,286382.01007982105,0.06977092027171805
566616.0557354548,286382.01007982105,0.059677913930444026
566621.0557354548,286382.01007982105,0.049100064974747115
566626.0557354548,286382.01007982105,0.03807694188364147
566376.0557354548,286387.01007982105,-0.3269873577957058
566381.0557354548,286387.01007982105,-0.2987814698109539
566386.0557354548,286387.01007982105,-0.27106606532855193
566391.0557354548,286387.01007982105,-0.24387583162336954
566396.0557354548,286387.01007982105,-0.21724555290385902
566401.0557354548,286387.01007982105,-0.19120914403972075
566476.0557354548,286387.01007982105,0.10899184811861432
566481.0557354548,286387.01007982105,0.121900660982486
566486.0557354548,286387.01007982105,0.13381900528390125
566491.0557354548,286387.01007982105,0.1447396377186924
566496.0557354548,286387.01007982105,0.15465822857717684
566501.0557354548,286387.01007982105,0.16357311436862668
566506.0557354548,286387.01007982105,0.17148478641833656
566511.0557354548,286387.01007982105,0.1783951499943283
566516.0557354548,286387.01007982105,0.18430687062029696
566521.0557354548,286387.01007982105,0.18922326279117543
566526.0557354548,286387.01007982105,0.19314882765828004
566531.0557354548,286387.01007982105,0.19609006367696694
566536.0557354548,286387.01007982105,0.1980561399388269
566541.0557354548,286387.01007982105,0.1990593045097461
566546.0557354548,286387.01007982105,0.19911509548948417
566551.0557354548,286387.01007982105,0.19824244912311076
566556.0557354548,286387.01007982105,0.19646375086710102
566561.0557354548,286387.01007982105,0.1938048077612388
566566.0557354548,286387.01007982105,0.19029463708356878
566571.0557354548,286387.01007982105,0.18596487289419864
566576.0557354548,286387.01007982105,0.18084857742656293
566581.0557354548,286387.01007982105,0.17497852464976463
566586.0557354548,286387.01007982105,0.16838565543172693
566591.0557354548,286387.01007982105,0.16109871602568496
566596.0557354548,286387.01007982105,0.15314531726765293
566601.0557354548,286387.01007982105,0.1445535790109496
566606.0557354548,286387.01007982105,0.1353534517530172
566611.0557354548,286387.01007982105,0.12557744145425356
566616.0557354548,286387.01007982105,0.11526090220412813
566621.0557354548,286387.01007982105,0.10444212207880649
566626.0557354548,286387.01007982105,0.09316232101629013
566631.0557354548,286387.01007982105,0.08146553497681203
566636.0557354548,286387.01007982105,0.06939819193309188
566641.0557354548,286387.01007982105,0.05700800411624135
566376.0557354548,286392.01007982105,-0.28477252868294434
566381.0557354548,286392.01007982105,-0.2559000489755685
566386.0557354548,286392.01007982105,-0.22751525586314034
566391.0557354548,286392.01007982105,-0.1996565553093422
566396.0557354548,286392.01007982105,-0.17236157197378218
566401.0557354548,286392.01007982105,-0.14566631542952266
566466.0557354548,286392.01007982105,0.1333440083686395
566471.0557354548,286392.01007982105,0.14866576053032368
566476.0557354548,286392.01007982105,0.16299655785005476
